model,step,tokens_b,loss,l2,ce,plan,lr,sps,log_path
ordered,12100,0.3964928,1.5773,0.6869,0.1618,0.9816,0.000159,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,12200,0.3997696,1.5749,0.6898,0.1664,0.976,0.00016,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,12300,0.4030464,1.5666,0.691,0.1726,0.9801,0.000162,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,12400,0.4063232,1.5705,0.6904,0.1769,0.9799,0.000163,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,12500,0.4096,1.5743,0.6882,0.1726,0.9866,0.000164,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,12600,0.4128768,1.5786,0.6902,0.161,0.9783,0.000166,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,12700,0.4161536,1.5733,0.6809,0.1736,0.9868,0.000167,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,12800,0.4194304,1.5671,0.689,0.1749,0.9758,0.000168,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,12900,0.4227072,1.569,0.6894,0.166,0.9802,0.00017,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,13000,0.425984,1.5739,0.6869,0.162,0.978,0.000171,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,13100,0.4292608,1.5783,0.6889,0.1621,0.9818,0.000172,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,13200,0.4325376,1.572,0.6894,0.1584,0.9745,0.000174,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,13300,0.4358144,1.5785,0.6935,0.1643,0.982,0.000175,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,13400,0.4390912,1.5677,0.6855,0.1632,0.975,0.000176,3.1,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,13500,0.442368,1.5633,0.6855,0.1708,0.9753,0.000177,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,13600,0.4456448,1.5714,0.6931,0.1684,0.98,0.000179,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,13700,0.4489216,1.5726,0.6901,0.1663,0.9796,0.00018,3.1,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,13800,0.4521984,1.5576,0.6828,0.1738,0.9734,0.000181,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,13900,0.4554752,1.5681,0.6888,0.173,0.9734,0.000183,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,14000,0.458752,1.5728,0.6925,0.1724,0.9803,0.000184,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,14100,0.4620288,1.5645,0.6874,0.1748,0.9776,0.000185,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,14200,0.4653056,1.562,0.6866,0.1674,0.967,0.000187,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,14300,0.4685824,1.5676,0.6921,0.1752,0.9734,0.000188,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,14400,0.4718592,1.5688,0.6873,0.1659,0.9694,0.000189,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,14500,0.475136,1.5614,0.6907,0.1682,0.9682,0.000191,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,14600,0.4784128,1.5573,0.6917,0.1751,0.9669,0.000192,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,14700,0.4816896,1.5575,0.6881,0.1838,0.9694,0.000193,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,14800,0.4849664,1.5588,0.6908,0.1743,0.967,0.000195,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,14900,0.4882432,1.562,0.689,0.1745,0.9736,0.000196,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,15000,0.49152,1.5607,0.689,0.1716,0.9679,0.000197,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,15100,0.4947968,1.5527,0.6838,0.1728,0.9669,0.000198,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,15200,0.4980736,1.5598,0.6916,0.1756,0.9701,0.0002,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,15300,0.5013504,1.5555,0.6905,0.1669,0.9661,0.000201,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,15400,0.5046272,1.5573,0.6886,0.1714,0.9642,0.000202,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,15500,0.507904,1.5637,0.6889,0.1692,0.9693,0.000204,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,15600,0.5111808,1.5491,0.6879,0.1814,0.9629,0.000205,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,15700,0.5144576,1.552,0.6904,0.1661,0.9596,0.000206,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,15800,0.5177344,1.5589,0.6901,0.1734,0.965,0.000208,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,15900,0.5210112,1.5497,0.687,0.171,0.9607,0.000209,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,16000,0.524288,1.5588,0.6945,0.1683,0.962,0.00021,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,16100,0.5275648,1.5503,0.6883,0.1729,0.9547,0.000212,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,16200,0.5308416,1.5498,0.6901,0.1836,0.9606,0.000213,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,16300,0.5341184,1.5472,0.6845,0.1694,0.9586,0.000214,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,16400,0.5373952,1.5465,0.6883,0.1691,0.954,0.000216,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,16500,0.540672,1.5577,0.6918,0.1646,0.9639,0.000217,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,16600,0.5439488,1.5481,0.6897,0.1726,0.9559,0.000218,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,16700,0.5472256,1.5511,0.6947,0.1688,0.9539,0.000219,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,16800,0.5505024,1.5448,0.6932,0.1766,0.948,0.000221,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,16900,0.5537792,1.5413,0.6896,0.1654,0.9499,0.000222,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,17000,0.557056,1.538,0.6904,0.1753,0.9443,0.000223,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,17100,0.5603328,1.5338,0.6892,0.1705,0.9439,0.000225,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,17200,0.5636096,1.541,0.6886,0.1639,0.9478,0.000226,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,17300,0.5668864,1.5396,0.6892,0.17,0.9458,0.000227,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,17400,0.5701632,1.5382,0.6922,0.174,0.9398,0.000229,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,17500,0.57344,1.538,0.6874,0.1656,0.9464,0.00023,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
