step,loss,l2,ce,plan,lr,sps
29500,1.1785,0.6933,0.1822,0.5874,0.000388,3.2
29600,1.1896,0.695,0.1715,0.5891,0.000389,3.2
29700,1.1707,0.6913,0.1715,0.5766,0.00039,3.3
29800,1.1602,0.6815,0.1708,0.5766,0.000392,3.2
29900,1.1657,0.6876,0.173,0.577,0.000393,3.2
30000,1.1693,0.6906,0.1791,0.5799,0.000394,3.3
30100,1.1517,0.6823,0.1739,0.5697,0.000396,3.3
30200,1.1651,0.689,0.173,0.5725,0.000397,3.2
30300,1.156,0.6852,0.1799,0.567,0.000398,3.3
30400,1.1632,0.695,0.1791,0.5629,0.0004,3.3
30500,1.1599,0.6913,0.1675,0.5636,0.000401,3.2
30600,1.1572,0.6989,0.1771,0.5568,0.000402,3.2
30700,1.1441,0.6887,0.176,0.5496,0.000403,3.3
30800,1.1358,0.6922,0.1729,0.5459,0.000405,3.2
30900,1.1457,0.6851,0.1716,0.5533,0.000406,3.3
31000,1.1431,0.6953,0.1739,0.5437,0.000407,3.2
31100,1.1372,0.6951,0.1738,0.5417,0.000409,3.2
31200,1.1407,0.6938,0.1769,0.5445,0.00041,3.3
31300,1.1396,0.6955,0.1732,0.5425,0.000411,3.3
31400,1.1479,0.6919,0.1724,0.5481,0.000413,3.3
31500,1.1278,0.6889,0.1798,0.5377,0.000414,3.2
31600,1.1131,0.6901,0.1755,0.5291,0.000415,3.3
31700,1.1185,0.6844,0.1746,0.5331,0.000417,3.3
31800,1.1238,0.6905,0.1712,0.5257,0.000418,3.3
31900,1.1162,0.687,0.1707,0.5256,0.000419,3.2
32000,1.1242,0.6952,0.1709,0.524,0.000421,3.2
32100,1.1121,0.6921,0.1739,0.5165,0.000422,3.3
32200,1.1106,0.6864,0.1725,0.5221,0.000423,3.2
32300,1.1103,0.6923,0.1744,0.514,0.000424,3.3
32400,1.1079,0.6949,0.1775,0.5143,0.000426,3.3
32500,1.1096,0.6937,0.1747,0.513,0.000427,3.3
32600,1.1064,0.6952,0.1797,0.5078,0.000428,3.2
32700,1.1003,0.6912,0.161,0.5061,0.00043,3.2
32800,1.101,0.6901,0.1782,0.5055,0.000431,3.3
32900,1.1006,0.6916,0.1673,0.499,0.000432,3.3
33000,1.0957,0.6921,0.1747,0.4999,0.000434,3.3
33100,1.0973,0.6894,0.1755,0.5008,0.000435,3.2
33200,1.0952,0.6906,0.1804,0.506,0.000436,3.3
33300,1.0912,0.6918,0.1747,0.4956,0.000438,3.2
33400,1.0952,0.6879,0.1729,0.4959,0.000439,3.2
33500,1.0719,0.6834,0.1782,0.4872,0.00044,3.3
33600,1.0844,0.6937,0.1742,0.4906,0.000442,3.2
33700,1.0765,0.6893,0.1803,0.4877,0.000443,3.3
33800,1.0865,0.6925,0.1681,0.4878,0.000444,3.3
33900,1.0797,0.689,0.174,0.4876,0.000446,3.3
34000,1.0706,0.6899,0.1706,0.4799,0.000447,3.3
34100,1.0816,0.696,0.1769,0.4846,0.000448,3.3
34200,1.0772,0.6895,0.1732,0.479,0.00045,3.2
34300,1.0727,0.6911,0.1787,0.4788,0.000451,3.2
34400,1.0646,0.6862,0.1656,0.4703,0.000452,3.2
34500,1.0638,0.6927,0.1764,0.4729,0.000454,3.3
34600,1.0724,0.698,0.1691,0.4678,0.000455,3.2
34700,1.0554,0.6894,0.1769,0.4662,0.000456,3.2
34800,1.0716,0.6947,0.18,0.4736,0.000458,3.3
34900,1.0602,0.6913,0.165,0.4635,0.000459,3.3
35000,1.0587,0.685,0.1701,0.4652,0.00046,3.2
35100,1.0702,0.6924,0.1741,0.4709,0.000461,3.3
35200,1.0555,0.6952,0.1724,0.4612,0.000463,3.2
35300,1.0597,0.6937,0.1752,0.4606,0.000464,3.3
35400,1.0498,0.6893,0.1725,0.4558,0.000465,3.3
35500,1.0468,0.6947,0.1753,0.4522,0.000467,3.2
35600,1.0481,0.6899,0.1755,0.4545,0.000468,3.2
35700,1.0476,0.6943,0.1698,0.4522,0.000469,3.3
35800,1.0455,0.6894,0.1794,0.4523,0.000471,3.3
35900,1.048,0.6849,0.1747,0.4586,0.000472,3.2
36000,1.0431,0.6925,0.1807,0.4502,0.000473,3.3
36100,1.0414,0.6905,0.1734,0.4444,0.000475,3.2
36200,1.0413,0.6923,0.1826,0.4453,0.000476,3.3
36300,1.0405,0.6921,0.1812,0.4468,0.000477,3.3
36400,1.0293,0.6821,0.1884,0.4475,0.000479,3.2
36500,1.0485,0.6894,0.1671,0.4458,0.00048,3.3
36600,1.0434,0.6938,0.1782,0.4485,0.000481,3.2
36700,1.0238,0.6903,0.171,0.4289,0.000482,3.2
36800,1.0345,0.6965,0.1739,0.4365,0.000484,3.2
36900,1.031,0.6947,0.1774,0.4398,0.000485,3.2
37000,1.0257,0.6901,0.1798,0.4375,0.000486,3.3
37100,1.0315,0.6911,0.171,0.4326,0.000488,3.3
37200,1.0213,0.6916,0.1708,0.4321,0.000489,3.2
37300,1.0246,0.6933,0.169,0.4265,0.00049,3.3
37400,1.0344,0.6951,0.1747,0.4298,0.000492,3.3
37500,1.0319,0.6892,0.1796,0.4357,0.000493,3.3
37600,1.0209,0.692,0.1768,0.427,0.000494,3.2
37700,1.0156,0.6836,0.1698,0.4281,0.000496,3.2
37800,1.0376,0.6948,0.1742,0.435,0.000497,3.3
37900,1.0146,0.6927,0.173,0.4155,0.000498,3.3
38000,1.0062,0.69,0.1806,0.4129,0.0005,3.3
38100,1.0089,0.6921,0.1793,0.4171,0.000501,3.3
38200,1.0033,0.6924,0.1763,0.4116,0.000502,3.3
38300,1.0124,0.694,0.1677,0.4145,0.000503,3.3
38400,1.0055,0.6898,0.1831,0.4201,0.000505,3.3
38500,1.0024,0.6859,0.1708,0.4147,0.000506,3.3
38600,1.013,0.6929,0.1745,0.4222,0.000507,3.2
38700,1.0112,0.6977,0.1785,0.414,0.000509,3.3
38800,1.012,0.6933,0.1716,0.4136,0.00051,3.3
38900,1.002,0.6944,0.1819,0.406,0.000511,3.3
39000,0.9956,0.6961,0.1816,0.4017,0.000513,3.2
39100,1.005,0.6875,0.18,0.411,0.000514,3.2
39200,1.0054,0.6905,0.1825,0.4144,0.000515,3.2
39300,0.9987,0.6956,0.1697,0.3997,0.000517,3.3
39400,1.0009,0.6928,0.1708,0.4039,0.000518,3.3
39500,1.0002,0.6914,0.1745,0.4056,0.000519,3.2
39600,1.0025,0.6981,0.1735,0.4013,0.000521,3.2
39700,1.0126,0.7027,0.1752,0.4063,0.000522,3.3
