timestamp, index, pstate, temperature.gpu, power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2026/07/03 16:05:59.143, 6, P8, 29, 5.24 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:59.144, 7, P8, 29, 5.90 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:00.146, 0, P8, 28, 6.34 W, 3 MiB, 0 %, 0 %
2026/07/03 16:06:00.147, 1, P8, 29, 11.43 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:00.148, 2, P8, 33, 9.35 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:00.150, 3, P8, 29, 7.38 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:00.151, 4, P8, 28, 7.11 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:00.152, 5, P8, 28, 12.15 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:00.153, 6, P8, 28, 5.25 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:00.154, 7, P8, 28, 5.86 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:01.155, 0, P8, 27, 6.34 W, 3 MiB, 0 %, 0 %
2026/07/03 16:06:01.157, 1, P8, 29, 11.34 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:01.158, 2, P8, 33, 9.23 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:01.159, 3, P8, 29, 7.18 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:01.160, 4, P8, 28, 7.10 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:01.161, 5, P8, 28, 11.89 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:01.162, 6, P8, 28, 5.28 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:01.163, 7, P8, 28, 5.89 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:02.164, 0, P8, 27, 6.48 W, 3 MiB, 0 %, 0 %
2026/07/03 16:06:02.166, 1, P8, 29, 11.38 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:02.168, 2, P8, 33, 9.36 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:02.169, 3, P8, 29, 7.06 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:02.170, 4, P8, 28, 7.14 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:02.171, 5, P8, 28, 11.81 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:02.172, 6, P8, 28, 5.28 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:02.173, 7, P8, 28, 5.96 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:03.174, 0, P8, 27, 6.49 W, 3 MiB, 0 %, 0 %
2026/07/03 16:06:03.176, 1, P8, 29, 11.43 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:03.177, 2, P8, 33, 9.47 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:03.178, 3, P8, 29, 6.96 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:03.179, 4, P8, 28, 7.16 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:03.180, 5, P8, 28, 11.78 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:03.181, 6, P8, 28, 5.23 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:03.182, 7, P8, 28, 5.99 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:04.183, 0, P8, 27, 6.41 W, 3 MiB, 0 %, 0 %
2026/07/03 16:06:04.185, 1, P8, 29, 11.42 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:04.186, 2, P8, 33, 9.51 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:04.187, 3, P8, 29, 6.97 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:04.188, 4, P8, 28, 7.10 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:04.189, 5, P8, 28, 11.75 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:04.191, 6, P8, 28, 5.24 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:04.192, 7, P8, 28, 5.91 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:05.193, 0, P8, 27, 6.33 W, 3 MiB, 0 %, 0 %
2026/07/03 16:06:05.194, 1, P8, 29, 11.49 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:05.195, 2, P8, 33, 9.60 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:05.196, 3, P8, 29, 6.99 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:05.197, 4, P8, 28, 7.11 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:05.199, 5, P8, 28, 11.77 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:05.200, 6, P8, 28, 5.26 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:05.201, 7, P8, 28, 5.83 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:06.202, 0, P8, 27, 6.32 W, 3 MiB, 0 %, 0 %
2026/07/03 16:06:06.204, 1, P8, 28, 11.43 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:06.205, 2, P8, 33, 9.65 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:06.206, 3, P8, 29, 6.93 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:06.207, 4, P8, 28, 7.13 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:06.208, 5, P8, 28, 11.98 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:06.209, 6, P8, 28, 5.27 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:06.210, 7, P8, 28, 5.88 W, 390 MiB, 0 %, 0 %
2026/07/03 16:06:07.211, 0, P2, 28, 9.82 W, 536 MiB, 1 %, 0 %
2026/07/03 16:06:07.212, 1, P2, 29, 25.07 W, 536 MiB, 2 %, 0 %
2026/07/03 16:06:07.213, 2, P2, 34, 28.37 W, 536 MiB, 3 %, 0 %
2026/07/03 16:06:07.214, 3, P2, 30, 15.54 W, 536 MiB, 1 %, 0 %
2026/07/03 16:06:07.215, 4, P2, 29, 14.69 W, 536 MiB, 1 %, 0 %
2026/07/03 16:06:07.216, 5, P2, 29, 31.16 W, 536 MiB, 1 %, 0 %
2026/07/03 16:06:07.216, 6, P2, 29, 15.35 W, 536 MiB, 2 %, 0 %
2026/07/03 16:06:07.217, 7, P2, 29, 26.88 W, 536 MiB, 0 %, 0 %
2026/07/03 16:06:08.218, 0, P2, 28, 52.10 W, 536 MiB, 0 %, 0 %
2026/07/03 16:06:08.219, 1, P2, 29, 57.46 W, 536 MiB, 0 %, 0 %
2026/07/03 16:06:08.220, 2, P2, 34, 64.64 W, 536 MiB, 0 %, 0 %
2026/07/03 16:06:08.221, 3, P2, 30, 57.45 W, 536 MiB, 0 %, 0 %
2026/07/03 16:06:08.222, 4, P2, 29, 57.79 W, 536 MiB, 0 %, 0 %
2026/07/03 16:06:08.223, 5, P2, 29, 71.16 W, 536 MiB, 0 %, 0 %
2026/07/03 16:06:08.223, 6, P2, 29, 48.84 W, 536 MiB, 0 %, 0 %
2026/07/03 16:06:08.224, 7, P2, 29, 57.41 W, 536 MiB, 0 %, 0 %
2026/07/03 16:06:09.225, 0, P2, 28, 52.58 W, 940 MiB, 0 %, 0 %
2026/07/03 16:06:09.226, 1, P2, 29, 57.07 W, 536 MiB, 0 %, 0 %
2026/07/03 16:06:09.227, 2, P2, 34, 62.73 W, 798 MiB, 0 %, 0 %
2026/07/03 16:06:09.228, 3, P2, 30, 56.88 W, 940 MiB, 3 %, 0 %
2026/07/03 16:06:09.229, 4, P2, 29, 57.58 W, 940 MiB, 4 %, 0 %
2026/07/03 16:06:09.230, 5, P2, 29, 71.17 W, 940 MiB, 0 %, 0 %
2026/07/03 16:06:09.231, 6, P2, 29, 48.58 W, 658 MiB, 0 %, 0 %
2026/07/03 16:06:09.232, 7, P2, 29, 56.79 W, 938 MiB, 0 %, 0 %
2026/07/03 16:06:10.233, 0, P2, 28, 52.47 W, 940 MiB, 0 %, 0 %
2026/07/03 16:06:10.234, 1, P2, 30, 57.19 W, 940 MiB, 0 %, 0 %
2026/07/03 16:06:10.235, 2, P2, 34, 63.13 W, 940 MiB, 0 %, 0 %
2026/07/03 16:06:10.236, 3, P2, 30, 57.06 W, 940 MiB, 0 %, 0 %
2026/07/03 16:06:10.236, 4, P2, 29, 57.95 W, 940 MiB, 0 %, 0 %
2026/07/03 16:06:10.237, 5, P2, 29, 71.12 W, 940 MiB, 0 %, 0 %
2026/07/03 16:06:10.238, 6, P2, 29, 48.83 W, 940 MiB, 0 %, 0 %
2026/07/03 16:06:10.239, 7, P2, 29, 56.84 W, 940 MiB, 0 %, 0 %
2026/07/03 16:06:11.241, 0, P2, 29, 52.87 W, 1404 MiB, 14 %, 1 %
2026/07/03 16:06:11.242, 1, P2, 30, 57.42 W, 1404 MiB, 5 %, 1 %
2026/07/03 16:06:11.244, 2, P2, 34, 64.75 W, 1404 MiB, 64 %, 0 %
2026/07/03 16:06:11.244, 3, P2, 30, 57.45 W, 1404 MiB, 10 %, 1 %
2026/07/03 16:06:11.245, 4, P2, 29, 57.66 W, 1404 MiB, 10 %, 1 %
2026/07/03 16:06:11.246, 5, P2, 29, 71.03 W, 1404 MiB, 12 %, 1 %
