step,optimizer_step_est,tokens_b,progress,loss,l2,ce,plan,lr,sps
11600,725.0,0.3801088,7.601971269791338,1.5809,0.6902,0.1616,0.9861,0.000153,3.2
11700,731.25,0.3833856,7.667505504875748,1.5854,0.6886,0.1712,0.992,0.000154,3.2
11800,737.5,0.3866624,7.733039739960155,1.568,0.6853,0.165,0.9806,0.000155,3.2
11900,743.75,0.3899392,7.7985739750445635,1.5786,0.6923,0.179,0.9832,0.000156,3.2
12000,750.0,0.393216,7.864108210128971,1.5766,0.6904,0.1575,0.9841,0.000158,3.2
12100,756.25,0.3964928,7.929642445213379,1.5773,0.6869,0.1618,0.9816,0.000159,3.2
12200,762.5,0.3997696,7.995176680297787,1.5749,0.6898,0.1664,0.976,0.00016,3.2
12300,768.75,0.4030464,8.060710915382195,1.5666,0.691,0.1726,0.9801,0.000162,3.3
12400,775.0,0.4063232,8.126245150466604,1.5705,0.6904,0.1769,0.9799,0.000163,3.2
12500,781.25,0.4096,8.191779385551012,1.5743,0.6882,0.1726,0.9866,0.000164,3.2
12600,787.5,0.4128768,8.25731362063542,1.5786,0.6902,0.161,0.9783,0.000166,3.2
12700,793.75,0.4161536,8.322847855719829,1.5733,0.6809,0.1736,0.9868,0.000167,3.2
12800,800.0,0.4194304,8.388382090804235,1.5671,0.689,0.1749,0.9758,0.000168,3.2
12900,806.25,0.4227072,8.453916325888644,1.569,0.6894,0.166,0.9802,0.00017,3.2
13000,812.5,0.425984,8.519450560973052,1.5739,0.6869,0.162,0.978,0.000171,3.2
13100,818.75,0.4292608,8.58498479605746,1.5783,0.6889,0.1621,0.9818,0.000172,3.2
13200,825.0,0.4325376,8.650519031141869,1.572,0.6894,0.1584,0.9745,0.000174,3.2
13300,831.25,0.4358144,8.716053266226277,1.5785,0.6935,0.1643,0.982,0.000175,3.2
13400,837.5,0.4390912,8.781587501310685,1.5677,0.6855,0.1632,0.975,0.000176,3.1
13500,843.75,0.442368,8.847121736395094,1.5633,0.6855,0.1708,0.9753,0.000177,3.2
13600,850.0,0.4456448,8.9126559714795,1.5714,0.6931,0.1684,0.98,0.000179,3.2
13700,856.25,0.4489216,8.978190206563909,1.5726,0.6901,0.1663,0.9796,0.00018,3.1
13800,862.5,0.4521984,9.043724441648317,1.5576,0.6828,0.1738,0.9734,0.000181,3.3
13900,868.75,0.4554752,9.109258676732725,1.5681,0.6888,0.173,0.9734,0.000183,3.2
14000,875.0,0.458752,9.174792911817132,1.5728,0.6925,0.1724,0.9803,0.000184,3.2
14100,881.25,0.4620288,9.240327146901542,1.5645,0.6874,0.1748,0.9776,0.000185,3.2
14200,887.5,0.4653056,9.30586138198595,1.562,0.6866,0.1674,0.967,0.000187,3.2
14300,893.75,0.4685824,9.371395617070357,1.5676,0.6921,0.1752,0.9734,0.000188,3.2
14400,900.0,0.4718592,9.436929852154766,1.5688,0.6873,0.1659,0.9694,0.000189,3.2
14500,906.25,0.475136,9.502464087239174,1.5614,0.6907,0.1682,0.9682,0.000191,3.3
14600,912.5,0.4784128,9.567998322323582,1.5573,0.6917,0.1751,0.9669,0.000192,3.3
14700,918.75,0.4816896,9.633532557407989,1.5575,0.6881,0.1838,0.9694,0.000193,3.3
14800,925.0,0.4849664,9.699066792492397,1.5588,0.6908,0.1743,0.967,0.000195,3.2
14900,931.25,0.4882432,9.764601027576807,1.562,0.689,0.1745,0.9736,0.000196,3.3
15000,937.5,0.49152,9.830135262661214,1.5607,0.689,0.1716,0.9679,0.000197,3.2
15100,943.75,0.4947968,9.895669497745622,1.5527,0.6838,0.1728,0.9669,0.000198,3.2
15200,950.0,0.4980736,9.96120373283003,1.5598,0.6916,0.1756,0.9701,0.0002,3.2
15300,956.25,0.5013504,10.026737967914439,1.5555,0.6905,0.1669,0.9661,0.000201,3.2
15400,962.5,0.5046272,10.092272202998846,1.5573,0.6886,0.1714,0.9642,0.000202,3.2
15500,968.75,0.507904,10.157806438083254,1.5637,0.6889,0.1692,0.9693,0.000204,3.2
15600,975.0,0.5111808,10.223340673167662,1.5491,0.6879,0.1814,0.9629,0.000205,3.3
15700,981.25,0.5144576,10.28887490825207,1.552,0.6904,0.1661,0.9596,0.000206,3.2
15800,987.5,0.5177344,10.354409143336479,1.5589,0.6901,0.1734,0.965,0.000208,3.2
15900,993.75,0.5210112,10.419943378420887,1.5497,0.687,0.171,0.9607,0.000209,3.2
16000,1000.0,0.524288,10.485477613505296,1.5588,0.6945,0.1683,0.962,0.00021,3.2
16100,1006.25,0.5275648,10.551011848589702,1.5503,0.6883,0.1729,0.9547,0.000212,3.2
16200,1012.5,0.5308416,10.61654608367411,1.5498,0.6901,0.1836,0.9606,0.000213,3.2
16300,1018.75,0.5341184,10.68208031875852,1.5472,0.6845,0.1694,0.9586,0.000214,3.2
16400,1025.0,0.5373952,10.747614553842928,1.5465,0.6883,0.1691,0.954,0.000216,3.2
16500,1031.25,0.540672,10.813148788927336,1.5577,0.6918,0.1646,0.9639,0.000217,3.3
16600,1037.5,0.5439488,10.878683024011744,1.5481,0.6897,0.1726,0.9559,0.000218,3.2
16700,1043.75,0.5472256,10.944217259096153,1.5511,0.6947,0.1688,0.9539,0.000219,3.2
16800,1050.0,0.5505024,11.00975149418056,1.5448,0.6932,0.1766,0.948,0.000221,3.3
16900,1056.25,0.5537792,11.075285729264968,1.5413,0.6896,0.1654,0.9499,0.000222,3.2
17000,1062.5,0.557056,11.140819964349376,1.538,0.6904,0.1753,0.9443,0.000223,3.2
17100,1068.75,0.5603328,11.206354199433784,1.5338,0.6892,0.1705,0.9439,0.000225,3.2
17200,1075.0,0.5636096,11.271888434518191,1.541,0.6886,0.1639,0.9478,0.000226,3.2
17300,1081.25,0.5668864,11.337422669602601,1.5396,0.6892,0.17,0.9458,0.000227,3.3
17400,1087.5,0.5701632,11.40295690468701,1.5382,0.6922,0.174,0.9398,0.000229,3.2
17500,1093.75,0.57344,11.468491139771416,1.538,0.6874,0.1656,0.9464,0.00023,3.2
17600,1100.0,0.5767168,11.534025374855824,1.5314,0.6909,0.1772,0.9392,0.000231,3.2
17700,1106.25,0.5799936,11.599559609940233,1.5241,0.6898,0.1713,0.9303,0.000233,3.2
17800,1112.5,0.5832704,11.665093845024641,1.5321,0.6903,0.1609,0.9349,0.000234,3.3
17900,1118.75,0.5865472,11.730628080109048,1.5345,0.6892,0.1654,0.9407,0.000235,3.2
18000,1125.0,0.589824,11.796162315193456,1.5289,0.6947,0.17,0.9297,0.000237,3.2
18100,1131.25,0.5931008,11.861696550277866,1.5309,0.6921,0.1788,0.9393,0.000238,3.2
18200,1137.5,0.5963776,11.927230785362273,1.5155,0.687,0.1758,0.9292,0.000239,3.2
18300,1143.75,0.5996544,11.992765020446681,1.5193,0.6926,0.1673,0.9265,0.00024,3.2
18400,1150.0,0.6029312,12.05829925553109,1.5145,0.6889,0.1737,0.9232,0.000242,3.2
18500,1156.25,0.606208,12.123833490615498,1.5181,0.6932,0.1677,0.926,0.000243,3.2
18600,1162.5,0.6094848,12.189367725699904,1.511,0.6934,0.1717,0.9197,0.000244,3.3
18700,1168.75,0.6127616,12.254901960784313,1.5083,0.6833,0.1646,0.9191,0.000246,3.2
18800,1175.0,0.6160384,12.320436195868721,1.5099,0.6926,0.1706,0.9149,0.000247,3.2
18900,1181.25,0.6193152,12.38597043095313,1.5035,0.6873,0.1762,0.9112,0.000248,3.3
19000,1187.5,0.622592,12.451504666037538,1.5145,0.6901,0.1647,0.9142,0.00025,3.2
19100,1193.75,0.6258688,12.517038901121946,1.503,0.695,0.1736,0.9052,0.000251,3.2
